Pianist,Psan-tran/Psantranit,פְּסַנְתְּרָן/פְּסַנְתְּרָנִית,Psanteranim/Psantraniyot,פְּסַנְתְּרָנִים/פְּסַנְתְּרָנִיּוֹת
Piano,Psan-tEr,פְּסַנְתֵּר,Psanterim,פְּסַנְתֵּרִים
Piece,Chatika,חֲתִיכָה,Chatichot,חֲתִיכוֹת
Picture,Tmuna,תְּמוּנָה,Tmunot,תְּמוּנוֹת
Pig/Pork,Chazir,חֲזִיר,Chazirim,חֲזִירִים
Place,Makom,מקום,Mekomot,מְקוֹמוֹת
Pocket,Kis,כִּיס,Kisot,כִּיסִים
Police,Shoter,שׁוֹטֵר,Shotrim,שׁוֹטְרִים
Pouring Rain,Ma-bul,מַבּוּל,,
Pot,Sir,סִיר,Sirim,סִירִים
Potato,Tapuach Adama,תַּפּוּחַ אֲדָמָה,Tapuchei adama,תַּפּוּחֵי אֲדָמָה
Profession,Miktzoa,מִקְצוֹעַ,Miktzo-ot,מִקְצוֹעוֹת
Psychologist,Psicholog/psichologit,פְּסִיכוֹלוֹג / פְּסִיכוֹלוֹגִית,Psichologim,פְּסִיכוֹלוֹגִים
Rabbit,Sha-fan,שָׁפָן,Shfanim,שְׁפָנִים
Reason,Si-ba,סִבָּה,Sibot,סִבּוֹת
Recipe,Matkon,מַתְכּוֹן,Matkonim,מַתְכּוֹנִים
Refrigerator,Mikhar,מְקָרֵר,Mikharim,מְקָרְרִים
Ring,Taba-at,טַבַּעַת,Taba-ot,טַבָּעוֹת
Road/Way/Path,Derech,דֶּרֶךְ,Drakhim,דְּרָכִים
Roof,Gag,גַּג,Gagot,גַּגּוֹת
Room,Cheder,חֶדֶר,Chadarim,חֲדָרִים
Seconds,Shniya,שְׁנִיָּה,Shniyot,שְׁנִיּוֹת
Salt,Melach,מֶלַח,,
Sauce,Rotev,רוֹטֶב,Rotavim,רְטָבִים
Scarf,Tzayif,צָעִיף,Tzaifim,צְעִיפִים
School,Betsefer,בֵּית סֵפֶר,Batei sefer,בָּתֵּי סֵפֶר
Secretary,Mazkir/Mazkira,מַזְכִּיר / מַזְכִּירָה,Mazkirim/Mazkirot,מַזְכִּירִים/מַזְכִּירוֹת
Service,Sherut,שֵׁרוּת,Sherutim,שֵׁרוּתִים
Shirt,Chul-tza,חֻלְצָה,Chultzot,חֻלְצוֹת
Shoe,Na-al,נַעַל,Na-a-laim,נְעָלַיִם
Shoulder,Kah-tef,כָּתֵף,Ktefayim,כְּתֵפַיִם
Sister,Achot,אָחוֹת,Achayot,אַחְיוֹת
Sister-in-law,Gis-ah,גִּיסָה,Gisot,גִּיסוֹת
Skin,Or,עוֹר,,
Skirt,Chatzait,חֲצָאִית,Chatzaiyot,חֲצָאִיּוֹת
Slippers,Ne-al bait,נַעֲלֵ בַּיִת,Na-alei bait,נעלי בית
Snake,Nachash,נָחָשׁ,Nechashim,נְחָשִׁים
Soap,Savon,סַבּוֹן,Savonim,סַבּוֹנִים
Sock,Gerev,גרב,Gravi-im,גַּרְבַּיִם
Spider,Akavish,עַכָּבִישׁ,Akavishim,עַכָּבִישִׁים
Spoon (big),Kaf,כַּף,Kapot,כַּפּוֹת
Spoon (little),Ka-pit,כַּפִּית,Kapiot,כַּפִּיּוֹת
Station,Tachana,תַּחֲנָה,Tachanot,תַּחֲנוֹת
Stomach,Keva,קֵבָה,Kevot,קֵבוֹת
Store,Chanut,חֲנוּת,Chanuyot,חֲנוּיוֹת
Story,Sipor,סִפּוּר,Sipurim,סִפּוּרִים
Suit,Chali-fa,חֲלִיפָה,Chalifot,חֲלִיפוֹת
Sunglasses,Mishkefe Shemesh,מִשְׁקְפֵי שֶׁמֶשׁ,,
Social worker,Oved/Ovedet Sozialit,עוֹבֵד/עוֹבֶדֶת סוֹצְיָאלִית,Ovdim/Ovdot Sozialiyot,עוֹבְדִים/עוֹבְדוֹת סוֹצְיָאלִיּוֹת
Soldier,Chaiyal/Chayelet,חַיָּל/חַיֶּלֶת,Chayalim/Chayalot,חַיָּלִים/חַיָּלוֹת
Son-in-law,Chatan,חָתָן,Chatanim,חֲתָנִים
Step (for relative),Cho-reg,חוֹרֵג,,
Sweet,Mam-tik/Mam-tika,מַמְתִּיק/מַמְתִּיקָה,Mam-ta-kim/Mamtikot,מַמְתִּיקִים/מַמְתִּיקוֹת
Tail,Zanav,זָנָב,Ze-navot,זְנָבוֹת
Team/Staff,Tzevet,צֶוֶת,Tzvatim,צְוָתִים
Therapist,Metapel / Metapelet,מְטַפֵּל/מְטַפֶּלֶת,Metaplim/Metaplot,מְטַפְּלִים/מְטַפְּלוֹת
